"","logFC","logCPM","LR","PValue","FDR"
"oases3_k25_Locus_52353_Transcript_5_1",9.41026002446964,6.08332762137103,78.2344620762214,9.15080610309834e-19,2.53422424219206e-14
"oases6_k25_Locus_6897_Transcript_5_2",7.01663086440556,8.21607963702251,54.4803631852476,1.57008927243015e-13,2.12653964046342e-09
"oases3_k49_Locus_48413_Transcript_4_1",7.11063399154435,7.92544044752336,53.7271225108906,2.30361050097142e-13,2.12653964046342e-09
"oases2_k43_Locus_20622_Transcript_5_1",7.48232149938677,7.00335733749102,52.8710030252913,3.56189396074195e-13,2.46607728371969e-09
"oases2_k49_Locus_33714_Transcript_2_1",7.22134051416016,5.25200926372175,43.3601907764671,4.5535853287829e-11,1.91986333040771e-07
"oases6_k49_Locus_2739_Transcript_5_1",5.94791218940804,5.70245798273319,43.2543815178957,4.80660169770304e-11,1.91986333040771e-07
"oases6_k49_Locus_58445_Transcript_2_1",6.39634454042865,6.27892307089799,43.2357090475352,4.85269130961723e-11,1.91986333040771e-07
"oases6_k25_Locus_27954_Transcript_3_1",6.05294027830102,6.18601078573697,42.8373048869266,5.94868741169692e-11,2.05928686474418e-07
"oases3_k25_Locus_54713_Transcript_9_1",6.16186238885036,5.15013198946487,42.3832317053979,7.50305674957962e-11,2.30877392914287e-07
"oases6_k31_Locus_25424_Transcript_1_1",7.72368941090501,4.60085575637531,41.1412737184073,1.41614095234145e-10,3.79867646129571e-07
"oases6_k37_Locus_5849_Transcript_9_1",8.88769545384248,4.37964041492588,41.0173651090493,1.50882649939528e-10,3.79867646129571e-07
"oases2_CL1131Contig1_1",6.63054677935081,5.89981142895463,40.670939674682,1.80146416216437e-10,4.15747904224833e-07
"oases3_k25_Locus_52753_Transcript_1_1",9.34815266725155,3.7031848413745,39.9654861620385,2.58490065935443e-10,5.13772765897523e-07
"oases3_CL21094Contig1_1",10.9124156894816,4.53749859151387,39.9561779545624,2.5972480402128e-10,5.13772765897523e-07
"oases3_k49_Locus_38780_Transcript_5_1",7.85753449920281,4.65572538843684,39.6001662006725,3.11656774713225e-10,5.36172780488648e-07
"oases6_k31_Locus_3792_Transcript_10_2",6.23441075059249,8.4173715175468,39.587212939257,3.13730811995614e-10,5.36172780488648e-07
"oases3_k31_Locus_32529_Transcript_1_1",8.88968094654021,2.67479440283401,39.4418416232251,3.3797683074115e-10,5.36172780488648e-07
"oases2_k25_Locus_50568_Transcript_1_1",7.00966107662667,6.85860953587354,39.3820205433028,3.48491010644748e-10,5.36172780488648e-07
"oases3_k31_Locus_2387_Transcript_6_1",6.68749425868154,5.44112123380414,37.6811706880786,8.33048064678263e-10,1.21423332122104e-06
"oases3_k43_Locus_24204_Transcript_8_1",6.50398064921194,3.93366934963477,37.2622879894221,1.03262277115658e-09,1.42987275122051e-06
"oases6_k37_Locus_56172_Transcript_1_1",9.23759686193341,3.81682683297194,36.6733222812676,1.39677896198214e-09,1.84201888443492e-06
"oases3_k49_Locus_49692_Transcript_1_1",6.6636614965562,4.68671078250563,36.3734326602733,1.62908759453424e-09,2.05072508377415e-06
"oases2_k25_Locus_49164_Transcript_1_1",6.52828667685545,5.92232047703865,35.9617668014973,2.01227488200646e-09,2.4229539383603e-06
"oases2_CL3315Contig1_1",9.04569952700763,6.85511626659464,35.7069026542945,2.29349935877441e-09,2.6465071350791e-06
"oases3_CL19994Contig1_1",5.68331157990908,7.08888386996698,35.2221206497779,2.94163186180895e-09,3.17608794433459e-06
"oases6_k49_Locus_57889_Transcript_1_1",7.26527409723291,4.89801558732558,35.1957004409454,2.9818114592583e-09,3.17608794433459e-06
"oases3_k43_Locus_3424_Transcript_84_3",7.0759005659115,5.66903816299752,34.7944502406542,3.6641647642742e-09,3.75834736969665e-06
"oases3_k37_Locus_49374_Transcript_9_1",6.64270096498702,4.6580169004321,34.5177131327168,4.22389976910018e-09,4.17773857876644e-06
"oases6_k43_Locus_47940_Transcript_1_1",6.71225558626572,5.14635602660681,34.44117967975,4.39329168363279e-09,4.19544206505264e-06
"oases3_CL20544Contig1_1",6.55609321992967,4.92543332684932,34.1687066095082,5.05351032916895e-09,4.66506383520017e-06
"oases6_k37_Locus_60082_Transcript_1_1",8.69457323230758,4.3483645974758,33.5395239465202,6.98304717175724e-09,6.23833897982726e-06
"oases6_k49_Locus_12143_Transcript_7_2",6.0174792509926,6.52884661462088,33.436481906271,7.36297707702706e-09,6.37219647409961e-06
"oases6_k43_Locus_5772_Transcript_3_2",6.90548641170345,4.145197106592,33.0848712841448,8.82225037064685e-09,7.40373944741497e-06
"oases6_k49_Locus_58223_Transcript_3_1",8.01585732154668,3.85953494474012,32.8716502150806,9.84485243528512e-09,8.01892186302312e-06
"oases3_CL22688Contig1_1",7.14458231442705,5.73529922154393,32.6247826212571,1.11780323293999e-08,8.84469792372577e-06
"oases3_k25_Locus_53259_Transcript_1_1",8.76895708884654,5.89501430563835,32.440006222271,1.22929511268928e-08,9.45669412522693e-06
"oases3_k37_Locus_50451_Transcript_6_1",7.65765973580459,6.58213597723064,32.3219247804377,1.30631034867955e-08,9.77755643144091e-06
"oases2_k31_Locus_32375_Transcript_2_1",5.79816984865078,4.60934192235689,31.9295657794329,1.59865267239416e-08,1.16508123971799e-05
"oases3_k49_Locus_66468_Transcript_1_1",8.57899947506091,2.51242176231327,31.7391148836966,1.7633478402119e-08,1.25215782273919e-05
"oases3_k25_Locus_4987_Transcript_6_1",9.42483160610409,2.52780533119458,31.6602160786155,1.83645977476827e-08,1.27147292506081e-05
"oases3_k37_Locus_11505_Transcript_13_1",6.7426095738021,5.35771599911619,31.5942186685886,1.89994380423422e-08,1.28334252962104e-05
"oases6_k25_Locus_54138_Transcript_1_1",6.58246974255876,4.21897834526646,30.9686079756201,2.62235765990123e-08,1.72913269126916e-05
"oases3_CL20429Contig1_1",8.39275571668685,2.98049514797424,30.9173646014972,2.69251857686408e-08,1.73410719692265e-05
"oases3_k49_Locus_49169_Transcript_6_1",9.45081667988903,2.55295620229727,30.800823990475,2.8591643107501e-08,1.79958400958894e-05
"oases2_k31_Locus_38544_Transcript_1_1",5.54318393218119,4.06072021274097,30.7262888144849,2.97112318628766e-08,1.82849523380112e-05
"oases6_k25_Locus_55231_Transcript_1_1",6.45114359941738,3.79076297787925,30.6623835355936,3.07060575761385e-08,1.8486381706817e-05
"oases6_CL13495Contig1_1",8.73319573382879,2.60862922787244,30.5566010483789,3.2426670058813e-08,1.91068978852929e-05
"oases2_k31_Locus_41487_Transcript_2_1",7.1929251295252,3.136950872354,30.2358584625485,3.82570495987053e-08,2.20727235747197e-05
"oases3_k31_Locus_27886_Transcript_6_2",9.12274365437998,3.17291661004983,29.8185102767038,4.74440514764568e-08,2.68146032977346e-05
"oases3_k37_Locus_50178_Transcript_1_1",9.02457570318611,2.19101342809563,29.6327528560285,5.22151560259216e-08,2.89209306196375e-05
"oases3_k43_Locus_32959_Transcript_1_1",6.63765450302136,5.18122663126204,29.4575252463757,5.71556790793049e-08,3.10366544396523e-05
"oases3_k25_Locus_53387_Transcript_1_1",6.41340683915687,4.01837363312215,28.9601091856385,7.3884219727373e-08,3.93490304063436e-05
"oases6_k31_Locus_57831_Transcript_1_1",8.87519075102688,2.22228211344631,28.853568596439,7.80619426721559e-08,4.07895743464658e-05
"oases6_k43_Locus_60897_Transcript_1_1",10.1352457568136,3.07362070981543,28.5671962134091,9.05024906050059e-08,4.64143699039821e-05
"oases6_k31_Locus_53645_Transcript_3_1",6.0475650159011,3.46819773778999,28.3403613964693,1.01752171721496e-07,5.1234993521002e-05
"oases6_k49_Locus_13559_Transcript_1_1",6.90915765693663,3.16305576486208,28.2193907323669,1.08314008874785e-07,5.35651457460409e-05
"oases6_k43_Locus_15593_Transcript_3_1",5.31092958565593,4.2144585533022,28.0928093960027,1.15634697807618e-07,5.61822337032313e-05
"oases3_k31_Locus_50978_Transcript_1_1",7.27915358165774,3.24591322992728,28.0564932513762,1.17825110542312e-07,5.62594588165309e-05
"oases3_k25_Locus_53953_Transcript_1_1",6.47311568741734,3.6099589271368,27.719985398106,1.40206721826626e-07,6.58116093943489e-05
"oases3_k25_Locus_53168_Transcript_1_1",8.81670776991426,2.22006686991262,27.6097415089895,1.48429351415546e-07,6.76325027677535e-05
"oases6_k49_Locus_57838_Transcript_1_1",8.25819319704207,2.53171143935371,27.6027052685928,1.48970270413554e-07,6.76325027677535e-05
"oases6_k25_Locus_16650_Transcript_1_1",4.56629191738542,4.4128801400788,27.3874760234368,1.66506099854923e-07,7.43745149900362e-05
"oases6_k25_Locus_42959_Transcript_7_1",7.75721350147266,2.40399754229751,27.2557017606207,1.78248710382036e-07,7.83558696082557e-05
"oases6_CL5114Contig1_1",8.63981973253177,3.43040460434576,27.1867060454898,1.84724495118176e-07,7.99337526219182e-05
"oases3_k25_Locus_53247_Transcript_1_1",6.99264319068064,2.67446342579211,27.0907291775559,1.94126689764463e-07,8.2709916097493e-05
"oases6_k49_Locus_57691_Transcript_1_1",8.99032546586508,2.36205197311111,27.0090306047659,2.02507145374931e-07,8.49732255153534e-05
"oases6_k43_Locus_24475_Transcript_2_1",4.77169596234456,6.01535279068505,26.8932495260063,2.15008548911987e-07,8.83748261789714e-05
"oases3_k31_Locus_50788_Transcript_1_1",6.54276358980598,4.79193427584416,26.875466470499,2.16996034526253e-07,8.83748261789714e-05
"oases6_k25_Locus_55197_Transcript_1_1",7.14568889968707,1.73166124351316,26.6695654095325,2.41393965060551e-07,9.58229106872899e-05
"oases3_k31_Locus_39189_Transcript_1_1",5.57953371527248,4.40926128910843,26.6630907917367,2.42204222868141e-07,9.58229106872899e-05
"oases3_k49_Locus_49905_Transcript_1_1",8.65339676613366,2.14648951595513,26.4642111106603,2.68466128413135e-07,0.000104716914933428
"oases6_k49_Locus_60818_Transcript_1_1",8.70117494489845,2.25226982255616,25.877421852325,3.63799565824342e-07,0.000139931460776935
"oases3_k25_Locus_52548_Transcript_1_1",6.95021337709466,2.51355897324973,25.8403506239508,3.70854014205563e-07,0.000140690836567245
"oases6_CL14329Contig1_1",5.60999915895462,3.74226978101691,25.5632070944352,4.28125556496666e-07,0.000160223096778631
"oases6_k43_Locus_18369_Transcript_1_1",4.27283955819695,5.56632739057993,25.4589504977408,4.51896262241866e-07,0.000166864201153683
"oases3_k43_Locus_49544_Transcript_1_1",8.14043187392742,1.64785288327626,25.3923705687659,4.67764436507694e-07,0.000170450898745317
"oases3_k43_Locus_49382_Transcript_1_1",7.75072563999629,3.68978273512167,25.2396656242096,5.06301294183513e-07,0.000182097507027509
"oases6_k49_Locus_57785_Transcript_1_1",8.90925340798022,2.0817844574941,25.0755954335136,5.51261351145437e-07,0.000195458893894422
"oases3_k25_Locus_53364_Transcript_5_1",7.07383185117873,2.85207427958733,25.0536651762654,5.57566715449533e-07,0.000195458893894422
"oases6_k43_Locus_33951_Transcript_3_1",5.95370627123533,5.08394582428432,24.9143688861447,5.99340453579579e-07,0.000207476681517911
"oases3_k49_Locus_49382_Transcript_5_1",8.24993528414975,3.06196560270733,24.7802040649834,6.4253987326585e-07,0.000219685175928697
"oases6_k43_Locus_3992_Transcript_1_1",-5.54577115403289,6.50057591827493,24.6565420741196,6.8511784419353e-07,0.000229386380048102
"oases6_CL17387Contig1_1",7.20243766974559,3.86347732531409,24.6499091566567,6.87479943092095e-07,0.000229386380048102
"oases2_k25_Locus_43190_Transcript_1_1",7.71990535329964,1.45681190560286,24.5097701283263,7.39339857351868e-07,0.000240627569694802
"oases3_k31_Locus_50510_Transcript_4_1",6.52662556996414,2.67178206844582,24.4899560254659,7.46982207107876e-07,0.000240627569694802
"oases3_k43_Locus_48964_Transcript_2_1",8.75351603170582,1.92326193485555,24.4892999138608,7.47236621425326e-07,0.000240627569694802
"oases3_k43_Locus_456_Transcript_10_1",6.50705948155869,3.42926737945651,24.2878415907867,8.29610748441907e-07,0.000263453667484818
"oases3_k31_Locus_50870_Transcript_3_1",8.34244291728813,1.81796408655671,24.2704254235264,8.37146051081968e-07,0.000263453667484818
"oases3_k49_Locus_48658_Transcript_5_1",8.0177111956481,1.66892398016494,24.064014819416,9.31855479209974e-07,0.000288868517966748
"oases6_k31_Locus_53954_Transcript_1_1",7.1122261210143,2.20690108915547,24.0497893570378,9.38765314400495e-07,0.000288868517966748
"oases3_k49_Locus_51225_Transcript_1_1",7.3521177525258,6.63772623993858,23.8751767465065,1.0278868857678e-06,0.000312816477081906
"oases3_k49_Locus_6476_Transcript_4_2",6.41200693142613,2.67121687214615,23.6045772952591,1.18305762166733e-06,0.000356126062765814
"oases6_k37_Locus_56259_Transcript_1_1",8.18821949743006,1.689143762211,23.5035885961646,1.24680993124215e-06,0.000371281228342152
"oases6_k25_Locus_55545_Transcript_1_1",8.15168934945719,1.36126516576038,23.4101985156321,1.30882809233727e-06,0.000385157212294442
"oases3_k25_Locus_55865_Transcript_1_1",8.28777542305758,2.04644701804592,23.392067461733,1.32122247302564e-06,0.000385157212294442
"oases6_k49_Locus_58100_Transcript_2_1",8.26133639614558,2.0011030815888,23.3622045080203,1.34189392565707e-06,0.000387108441428613
"oases3_k25_Locus_52522_Transcript_1_1",8.03921822224335,2.01010320781657,22.9439275435552,1.66796276420063e-06,0.000476211966925487
"oases6_k49_Locus_16838_Transcript_6_1",-6.21364422657837,4.90125651520094,22.8421717568388,1.7586416111895e-06,0.000496977763064103
"oases3_k43_Locus_38344_Transcript_3_1",5.50457538636083,3.04876508221748,22.2980957695219,2.33437979401429e-06,0.000653013272883148
"oases6_k25_Locus_62086_Transcript_2_1",8.1125457100926,1.65131608923459,22.2766281502844,2.36062365588754e-06,0.000653751115261494
"oases3_k43_Locus_9936_Transcript_3_1",4.76106065021658,4.82336694772404,22.2104201595745,2.44344084960533e-06,0.000668274833436688
"oases3_k31_Locus_8441_Transcript_8_2",7.12563810013169,2.27663846087867,22.1964157607807,2.46132855530231e-06,0.000668274833436688
"oases6_k31_Locus_55698_Transcript_1_1",8.57420247143902,1.61122114864503,22.0298283483142,2.68446033776497e-06,0.000721781015476341
"oases6_k37_Locus_22955_Transcript_1_1",8.2236825573295,1.72759368488167,21.9202094552334,2.84224899095505e-06,0.00075207747654613
"oases3_k49_Locus_28281_Transcript_1_1",8.34778721637626,2.12600961060896,21.914005189665,2.85145284311922e-06,0.00075207747654613
"oases2_k31_Locus_45641_Transcript_1_1",7.68333255530219,1.45811433159528,21.8783125630291,2.90498570301276e-06,0.000753781717068484
"oases6_CL1263Contig1_1",6.28144893517528,2.53973767288656,21.8598347043537,2.93309430249863e-06,0.000753781717068484
"oases6_k49_Locus_62996_Transcript_1_1",7.71025571480721,1.44101997876959,21.8427422113882,2.95933838544171e-06,0.000753781717068484
"oases6_k25_Locus_51852_Transcript_1_1",6.4297235131294,1.92695432820022,21.8379185234038,2.96678728823806e-06,0.000753781717068484
"oases6_k49_Locus_58473_Transcript_1_1",4.74527106634248,5.70442154558366,21.6070418986944,3.34621017743616e-06,0.000836127203314961
"oases2_k43_Locus_1673_Transcript_2_1",-4.37496407441559,8.20994629659284,21.5842049890146,3.38629104122543e-06,0.000836127203314961
"oases6_k49_Locus_9152_Transcript_6_1",6.42232800888858,6.23855988649061,21.5750115635601,3.40256201962503e-06,0.000836127203314961
"oases6_k31_Locus_50052_Transcript_1_1",6.79047894824937,2.25581294953984,21.5698930364056,3.41165501460932e-06,0.000836127203314961
"oases6_k25_Locus_8762_Transcript_4_1",-6.45838577345602,1.26719920886338,21.5063900036503,3.52651598158833e-06,0.000856695908720238
"oases6_k25_Locus_55401_Transcript_1_1",7.79893461687466,1.61971925609445,21.4359832765915,3.65840599715406e-06,0.000881007788566823
"oases2_CL13523Contig1_1",-6.05851823363934,4.78040075465747,21.2476202960327,4.03611148923167e-06,0.000956222868829092
"oases3_k25_Locus_40865_Transcript_1_1",6.57257153017654,2.79854145965575,21.245871898275,4.03979474445742e-06,0.000956222868829092
"oases3_k49_Locus_9807_Transcript_5_3",7.51625438400774,2.50954132192993,21.1976800058287,4.14265667114596e-06,0.000972260456362001
"oases3_k49_Locus_49050_Transcript_1_1",6.30172540239663,2.49565942956469,21.1774476282448,4.18662070048806e-06,0.000974321627557281
"oases3_k31_Locus_33904_Transcript_1_1",4.5369178307609,3.1323199878495,21.0702740861352,4.42743381122699e-06,0.00102177793306767
"oases6_k25_Locus_56775_Transcript_1_1",7.68285015166101,1.52015691946549,20.9790191643317,4.64340683815537e-06,0.0010627645369907
"oases6_k43_Locus_55712_Transcript_2_1",5.71153295349137,2.57008197903461,20.936533071276,4.74753543206374e-06,0.00107769054307847
"oases6_k25_Locus_56462_Transcript_1_1",7.69598607132514,1.28928542690107,20.8126409109672,5.06475687892572e-06,0.00114035265857698
"oases2_CL6127Contig1_1",-3.92096563816051,5.14903901268462,20.7692982966981,5.18068678545883e-06,0.00115553990915665
"oases6_k49_Locus_57714_Transcript_1_1",6.99913349888616,5.95240926818919,20.7509284242442,5.23062139894811e-06,0.00115553990915665
"oases2_CL246Contig1_1",5.79757434100928,8.41012836713699,20.7411548766249,5.25738530200541e-06,0.00115553990915665
"oases2_k25_Locus_22851_Transcript_3_1",5.6202807663458,4.87668552459934,20.7217364519068,5.31096927644494e-06,0.00115812585151076
"TRINITY_DN26449_c0_g1_i1",8.38524947929063,1.95216168317437,20.6853971966741,5.41272238387915e-06,0.0011710932320246
"oases6_k49_Locus_59430_Transcript_3_1",6.16430679458553,7.49004926117799,20.5046064576479,5.94879146924188e-06,0.00127709946472236
"oases6_k43_Locus_61060_Transcript_1_1",7.21536380974334,2.02719460947467,20.4311241913469,6.18162356008534e-06,0.00131687602210003
"oases6_k43_Locus_36842_Transcript_2_1",5.83893777294618,3.61522423730531,20.3958440338539,6.29663908960876e-06,0.00133113834311164
"oases2_CL13503Contig1_1",5.75089698645312,4.87470764884455,20.2631819302985,6.74868633613662e-06,0.00141589484388612
"oases6_k25_Locus_49761_Transcript_1_1",8.32517747540159,2.46955339012075,20.2023183720091,6.96684507323683e-06,0.00144477104226592
"oases6_k25_Locus_26338_Transcript_1_1",6.63845232965528,2.71208190125775,20.1957906545512,6.99065933644955e-06,0.00144477104226592
"oases3_k43_Locus_49973_Transcript_1_1",7.06409433074402,1.79347749514894,20.0861098624566,7.40324023152925e-06,0.00151870618497756
"oases3_k49_Locus_29551_Transcript_2_1",8.11266829043979,2.17704332035437,20.0330972709435,7.61133177663763e-06,0.00154991339869267
"oases3_k49_Locus_41721_Transcript_1_1",6.97426057115141,1.64001935984433,19.9582322742101,7.91524220118753e-06,0.00160003443445027
"oases6_CL2480Contig1_1",6.83054292421644,2.19966374689552,19.8990775880559,8.16397057534853e-06,0.00163835508053407
"oases3_k37_Locus_5192_Transcript_6_1",-5.00266202046701,6.87312966666222,19.8367309523646,8.43461927979211e-06,0.00168049170024865
"oases3_k25_Locus_54813_Transcript_2_1",7.75072588977116,1.19312068829829,19.7668617774577,8.74864297697177e-06,0.00173060656145897
"oases3_k49_Locus_49884_Transcript_1_1",6.16953910669468,1.81828583365137,19.6732674374879,9.187771671928e-06,0.00179623070932141
"oases6_k43_Locus_57410_Transcript_1_1",7.36227988501205,1.65729832205646,19.6601122695392,9.25124251347538e-06,0.00179623070932141
"oases2_k37_Locus_51390_Transcript_1_1",4.95868919784327,3.49743648190471,19.6552178982417,9.27496899808486e-06,0.00179623070932141
"oases6_k49_Locus_19029_Transcript_2_1",5.35270883592218,3.2406081331573,19.6084985879841,9.50454838317018e-06,0.00182304707243768
"oases6_k31_Locus_55381_Transcript_5_1",7.11018291689338,2.22818238125911,19.6003654903971,9.54509372078658e-06,0.00182304707243768
"oases3_k31_Locus_51145_Transcript_3_1",7.70297159069515,1.18429473467433,19.5655866216483,9.72044261214635e-06,0.00184382149110124
"oases6_k49_Locus_59690_Transcript_1_1",6.8927363525409,2.22519495641125,19.5135770316542,9.98871944226702e-06,0.00188182038254519
"oases3_k37_Locus_32175_Transcript_6_1",3.96430997660596,4.28583472993394,19.4872943101214,1.01271066381133e-05,0.00189500061645885
"oases3_k25_Locus_18432_Transcript_3_1",7.31777273697136,0.943349824838513,19.4741950463124,1.01967957742007e-05,0.00189523531658198
"oases3_CL1463Contig1_1",6.52438408518224,3.38351184140952,19.4399312102338,1.03813677364199e-05,0.00191667732061608
"oases3_CL17685Contig1_1",3.86303248002317,5.61708100545563,19.4084815386421,1.05537317854708e-05,0.00193559634481344
"oases3_k49_Locus_11972_Transcript_3_1",7.61299906645947,1.16083777081185,19.356302634255,1.08460676209872e-05,0.00197612497826065
"oases6_k31_Locus_55853_Transcript_2_1",5.71257957076924,0.489522385865838,19.3204701468382,1.10515176054874e-05,0.00200039691873443
"oases6_k49_Locus_57643_Transcript_1_1",5.06301151783095,4.07111528754583,19.2258656182703,1.16129212479663e-05,0.0020883652015661
"oases6_k37_Locus_56175_Transcript_1_1",6.71604054188156,1.87091032659133,19.0714494561567,1.25914543328193e-05,0.00224972733092321
"oases6_k43_Locus_5868_Transcript_3_2",4.81258687663197,3.32705718917545,19.0394469112834,1.28043918356534e-05,0.00227310786856786
"oases6_k43_Locus_32784_Transcript_1_1",5.68152995689358,3.67187484330905,18.9641741430946,1.33196065711815e-05,0.00234260012622279
"oases6_k25_Locus_54242_Transcript_1_1",6.19061205928802,1.30509324592731,18.9567250063118,1.33717119630765e-05,0.00234260012622279
"oases3_k31_Locus_37174_Transcript_1_1",7.49492567617969,1.27542380049539,18.945643077087,1.34496071376263e-05,0.00234260012622279
"oases6_CL3723Contig1_2",6.40615727644193,1.03676935332043,18.8720775398902,1.39783837421356e-05,0.00240578424961273
"oases2_k25_Locus_2051_Transcript_4_1",-5.01647065779789,7.99497704919959,18.8710237991,1.39861076113111e-05,0.00240578424961273
"oases6_CL2677Contig1_1",6.21576864966833,4.95182154172256,18.8299022616488,1.4290897732504e-05,0.00244303778891337
